EN: hello | FR: bonjour | RW: muraho
EN: goodbye | FR: au revoir | RW: murabeho
EN: thank you | FR: merci | RW: murakoze
EN: you're welcome | FR: de rien | RW: ntacyo
EN: good | FR: bon | RW: meza
EN: bad | FR: mauvais | RW: mbi
EN: yes | FR: oui | RW: yego
EN: no | FR: non | RW: oya
EN: please | FR: s'il vous plaît | RW: mfasha
EN: how are you | FR: comment ça va | RW: amakuru
EN: I am fine | FR: je vais bien | RW: ni meza
EN: good morning | FR: bonjour | RW: mwaramutse
EN: good evening | FR: bonsoir | RW: mwiriwe
EN: good night | FR: bonne nuit | RW: muramuke
EN: what is your name | FR: comment tu t'appelles | RW: witwa nde
EN: my name is | FR: je m'appelle | RW: nitwa
EN: game | FR: jeu | RW: umukino
EN: code | FR: code | RW: kode
EN: computer | FR: ordinateur | RW: mudasobwa
EN: intelligence | FR: intelligence | RW: ubwenge
EN: language | FR: langue | RW: ururimi
EN: knowledge | FR: connaissance | RW: ubumenyi
EN: reasoning | FR: raisonnement | RW: gutekereza
EN: answer | FR: réponse | RW: igisubizo
EN: question | FR: question | RW: ikibazo
EN: Rwanda | FR: Rwanda | RW: u Rwanda
EN: Africa | FR: Afrique | RW: Afurika
EN: help | FR: aide | RW: ubufasha
EN: learn | FR: apprendre | RW: kwiga
EN: understand | FR: comprendre | RW: gusobanukirwa
EN: science | FR: science | RW: siyanse
EN: mathematics | FR: mathématiques | RW: matematiki
EN: history | FR: histoire | RW: amateka
EN: geography | FR: géographie | RW: jeografiya
EN: physics | FR: physique | RW: fiziki
EN: chemistry | FR: chimie | RW: chimie
EN: biology | FR: biologie | RW: biologiya
EN: medicine | FR: médecine | RW: ubuvuzi
EN: technology | FR: technologie | RW: ikoranabuhanga
EN: internet | FR: internet | RW: interineti
EN: artificial intelligence | FR: intelligence artificielle | RW: ubwenge bw'ubukorikori
EN: energy | FR: énergie | RW: ingufu
EN: water | FR: eau | RW: amazi
EN: fire | FR: feu | RW: umuriro
EN: earth | FR: terre | RW: isi
EN: sun | FR: soleil | RW: izuba
EN: moon | FR: lune | RW: ukwezi
EN: star | FR: étoile | RW: inyenyeri
EN: sky | FR: ciel | RW: ijuru
EN: tree | FR: arbre | RW: igiti
EN: animal | FR: animal | RW: inyamaswa
EN: human | FR: humain | RW: umuntu
EN: child | FR: enfant | RW: umwana
EN: family | FR: famille | RW: umuryango
EN: house | FR: maison | RW: inzu
EN: food | FR: nourriture | RW: indyo
EN: work | FR: travail | RW: akazi
EN: school | FR: école | RW: ishuri
EN: teacher | FR: professeur | RW: umwarimu
EN: student | FR: étudiant | RW: umunyeshuri
EN: book | FR: livre | RW: igitabo
EN: music | FR: musique | RW: umuziki
EN: art | FR: art | RW: ubuhanzi
EN: peace | FR: paix | RW: amahoro
EN: war | FR: guerre | RW: intambara
EN: love | FR: amour | RW: urukundo
EN: friend | FR: ami | RW: inshuti
EN: city | FR: ville | RW: umugi
EN: country | FR: pays | RW: igihugu
EN: world | FR: monde | RW: isi
EN: time | FR: temps | RW: igihe
EN: day | FR: jour | RW: umunsi
EN: night | FR: nuit | RW: ijoro
EN: week | FR: semaine | RW: icyumweru
EN: month | FR: mois | RW: ukwezi
EN: year | FR: année | RW: umwaka
EN: money | FR: argent | RW: amafaranga
EN: health | FR: santé | RW: ubuzima
EN: hospital | FR: hôpital | RW: ibitaro
EN: doctor | FR: médecin | RW: muganga
EN: government | FR: gouvernement | RW: leta
EN: democracy | FR: démocratie | RW: demokarasi
EN: freedom | FR: liberté | RW: ubwigenge
EN: equality | FR: égalité | RW: ubungakanye
EN: justice | FR: justice | RW: ubutabera
EN: culture | FR: culture | RW: umuco
EN: tradition | FR: tradition | RW: imigenzo
EN: religion | FR: religion | RW: idini
EN: mathematics | FR: mathématiques | RW: matematiki
EN: addition | FR: addition | RW: kongeramo
EN: subtraction | FR: soustraction | RW: gukuramo
EN: multiplication | FR: multiplication | RW: gukuba
EN: division | FR: division | RW: kugabanya
EN: number | FR: nombre | RW: nimero
EN: zero | FR: zéro | RW: zero
EN: one | FR: un | RW: rimwe
