Winter AI is a strong reasoning engine created by INEZA Aime Bruno, Rwanda.
Winter learns languages in order: English first, French second, Kinyarwanda third.
Winter is powered by 7 reasoning layers: Python, Prolog, Mercury, OCaml, LISP, C++, Schema.

# SCIENCE - Physics
EN: Physics is the natural science that studies matter, energy, space, and time. | FR: La physique est la science naturelle qui étudie la matière, l'énergie, l'espace et le temps. | RW: Fiziki ni siyanse kamere isuzuma ikintu, ingufu, ahantu n'igihe.
EN: Newton's first law states that an object at rest stays at rest unless acted upon by a force. | FR: La première loi de Newton stipule qu'un objet au repos reste au repos sauf si une force agit dessus. | RW: Itegeko rya mbere rya Newton rivuga ko ikintu kiri mu buhwere gikomeza uko kiri igihe nta ngufu zikikozaho.
EN: Newton's second law: Force equals mass times acceleration (F = ma). | FR: Deuxième loi de Newton : Force égale masse fois accélération (F = ma). | RW: Itegeko rya kabiri rya Newton: Ngufu ni ingano ya selili ikangukiye inshuro za kwimuka (F = ma).
EN: Newton's third law: For every action there is an equal and opposite reaction. | FR: Troisième loi de Newton : À chaque action correspond une réaction égale et opposée. | RW: Itegeko rya gatatu rya Newton: Buri ngufu zifite ngufu zingana n'izitandukanye nazo.
EN: Einstein's theory of relativity shows that space and time are linked and energy equals mass times the speed of light squared (E=mc²). | FR: La théorie de la relativité d'Einstein montre que l'espace et le temps sont liés et E=mc². | RW: Ingano ya Einstein yo gusesengura igaragaza ko ahantu n'igihe bifatanye kandi E=mc².
EN: Gravity is the force that attracts objects with mass toward each other. Earth's gravity accelerates objects at 9.8 m/s². | FR: La gravité est la force qui attire les objets avec masse les uns vers les autres. La gravité terrestre est de 9,8 m/s². | RW: Uburemere ni ngufu zikurura ibintu bifite uburemere. Uburemere bw'isi bugenda vuba mbere 9.8 m/s².
EN: The speed of light in a vacuum is approximately 299,792,458 meters per second (about 300,000 km/s). | FR: La vitesse de la lumière dans le vide est d'environ 299 792 458 mètres par seconde. | RW: Umuvuduko w'urumuri mu kirere ni hafi 299,792,458 metero ku segonda.
EN: Thermodynamics studies heat and energy transfer. The first law says energy cannot be created or destroyed. | FR: La thermodynamique étudie la chaleur et le transfert d'énergie. La première loi dit que l'énergie ne peut être créée ni détruite. | RW: Itermodinamike isuzuma ubushyuhe n'ihinduka ry'ingufu. Itegeko rya mbere rivuga ko ingufu ntishobora gushyirwaho cyangwa gusenya.
EN: Quantum mechanics describes the behavior of particles at the atomic and subatomic level. | FR: La mécanique quantique décrit le comportement des particules au niveau atomique et subatomique. | RW: Mekanika ya kantike isobanura imyitwarire y'ingwino ku rwego rwa atome no munsi yayo.
EN: An atom consists of a nucleus (protons and neutrons) surrounded by electrons. | FR: Un atome est composé d'un noyau (protons et neutrons) entouré d'électrons. | RW: Atome igizwe n'imitsi (proton na neutron) ikingirwa n'electrons.
EN: Electricity is the flow of electric charge, typically electrons, through a conductor. | FR: L'électricité est le flux de charges électriques, généralement des électrons, à travers un conducteur. | RW: Amashanyarazi ni inzira y'umutwaro wa gaze, cyane cyane electrons, hanyuma y'ikigaba.
EN: Ohm's law: Voltage equals current multiplied by resistance (V = IR). | FR: Loi d'Ohm : La tension est égale au courant multiplié par la résistance (V = IR). | RW: Itegeko rya Ohm: Voltage ni amashanyarazi inshuro za guhagarika (V = IR).
EN: Sound is a mechanical wave that travels through matter. It cannot travel through a vacuum. | FR: Le son est une onde mécanique qui se déplace à travers la matière. Il ne peut pas voyager dans le vide. | RW: Ijwi ni umuzingo wa mekanika ugenda mu kintu. Ntishobora kugenda mu kirere.
EN: Light behaves both as a wave and as a particle (photon). This is called wave-particle duality. | FR: La lumière se comporte à la fois comme une onde et comme une particule (photon). C'est la dualité onde-corpuscule. | RW: Urumuri rugenda nk'umuzingo no nk'ingwino (photon). Ibi bita ihindagurika ry'umuzingo-ingwino.

# SCIENCE - Chemistry
EN: Chemistry is the study of matter, its properties, how and why substances combine or separate. | FR: La chimie est l'étude de la matière, de ses propriétés et de la façon dont les substances se combinent. | RW: Chimie ni ubushakashatsi bw'ikintu, ibintu byabyo, uburyo ibintu bishyira hamwe cyangwa bitandukana.
EN: The periodic table organizes all known chemical elements by atomic number. There are 118 confirmed elements. | FR: Le tableau périodique organise tous les éléments chimiques connus par numéro atomique. Il y a 118 éléments confirmés. | RW: Imbonerahamwe ya elementu ihuza elementu zose ziziwe za chimike ukoresheje nimero ya atome. Hari elementu 118 zemejwe.
EN: Water is a molecule made of two hydrogen atoms and one oxygen atom (H₂O). | FR: L'eau est une molécule composée de deux atomes d'hydrogène et d'un atome d'oxygène (H₂O). | RW: Amazi ni molikule igizwe na atome ebyiri za hydrogene na atome imwe ya oksijene (H₂O).
EN: Photosynthesis is the process by which plants use sunlight, water, and CO₂ to make glucose and oxygen. | FR: La photosynthèse est le processus par lequel les plantes utilisent la lumière solaire, l'eau et le CO₂ pour produire du glucose et de l'oxygène. | RW: Ifotosintetize ni inzira ibimera bikoreshamo izuba, amazi, na CO₂ gukora glucose na oksijene.
